,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What types of users interact with computer systems?,0.7059
1,What is an interactive software system?,What are the main types of adaptations used in interactive systems?,0.6273
2,What is a complex interactive computer system?,What types of users interact with computer systems?,0.6659
3,What does make up the user interface of an interactive computer system?,What types of users interact with computer systems?,0.7296
4,What is a User?,What types of users interact with computer systems?,0.5543
5,How can a user interact in human–computer interactions?,What types of users interact with computer systems?,0.7454
6,"Considering intentionality, how can a user interact with an interactive computer system?",What types of users interact with computer systems?,0.6741
7,Why does a user intentionally interact with an interactive computer system?,What types of users interact with computer systems?,0.7001
8,What does make up a complex user participation?,What types of users interact with computer systems?,0.5509
9,What is a human–computer interaction?,What types of users interact with computer systems?,0.6175
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What types of users interact with computer systems?,0.552
11,How is a user input processed by an interactive computer system?,What types of users interact with computer systems?,0.6016
12,How does a user receive an output from an interactive computer system?,What types of users interact with computer systems?,0.5847
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of users interact with computer systems?,0.5909
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can user satisfaction be measured in HCI?,0.5513
