,genCQs,best_expertCQs,best_cos_score
0,What interaction modalities are defined for both input and output?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5562
1,How are user capabilities categorized in the HCI domain?,What does make up a complex user participation?,0.459
2,What types of disabilities affect the interaction with ICT systems?,What is a complex interactive computer system?,0.5282
3,What are the main components of an interaction ontology?,What does make up the user interface of an interactive computer system?,0.4466
4,How is user behavior modeled to adapt interactive systems?,What does make up the user interface of an interactive computer system?,0.7209
5,Which activities can a user perform based on their capabilities?,What does make up a complex user participation?,0.4692
6,What type of assistive technologies are recommended based on user disabilities?,What is a human–computer interaction?,0.3674
7,How are user preferences incorporated into adaptive interfaces?,What does make up the user interface of an interactive computer system?,0.4829
8,What are the critical factors in designing multimodal interfaces for HCI?,What does make up the user interface of an interactive computer system?,0.5467
9,How can user modeling algorithms predict the next user action?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4371
10,What ontologies are integrated into the AEGIS/ACCESSIBLE framework?,What is an interactive software system?,0.3709
11,What role does context play in the interaction design?,How can a user interact in human–computer interactions?,0.5194
12,How is semantic reasoning applied in adapting user interfaces?,What does make up the user interface of an interactive computer system?,0.4929
13,What is the relationship between impairment types and specific disabilities?,What is a human–computer interaction?,0.2224
14,How can an ontology support the design and development of adaptive interactive systems?,What is an interactive software system?,0.5736
