,genCQs,best_expertCQs,best_cos_score
0,What kind of questions can we ask to understand requirements engineering (RE) practice?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4659
1,What evidence do we have about current RE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5135
2,What further evidence is needed about RE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4353
3,What are the primary success factors in empirical studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6147
4,How has the focus on requirements elicitation evolved over time?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4469
5,In which domains has empirical RE research been most concentrated?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7526
6,What are the most researched emerging areas in empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.696
7,What are the common challenges identified in multi-site development RE projects?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.3644
8,How often are specific RE techniques adopted in industry versus academia?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5631
9,What are the typical findings of RE practice studies conducted in Germany and Australia?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5303
10,How has the role of empirical studies in RE been discussed in previous research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7573
11,What frameworks are available for questionnaires on RE?,"""On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])""",0.3872
12,Which research methods are frequently used in primary empirical RE studies?,How often are which empirical methods used?,0.7225
13,What data collection methods are prevalent in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6785
14,What types of research participants are commonly involved in RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5899
15,How has the interest in RE empirical research changed since 2000?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7124
16,Which countries are most actively involved in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6667
17,What are the emerging non-functional requirements (NFRs) areas in empirical RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5471
18,How can we structure and synthesize empirical RE knowledge?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5643
19,What are the gaps in current empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7105
20,How rigorous is the reported research in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6022
21,What are the main sources of RE empirical studies publication?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7571
22,How do different RE interventions relate to RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4025
23,What are the key areas of research in requirements validation and verification?,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,0.3989
24,What evidence exists for the effectiveness of different RE interventions?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4499
25,How often are existing studies in RE replicated for validation?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.5828
26,What techniques have proven successful in requirements elicitation?,How do the authors justify the selection and combination of empirical methods and design elements?,0.442
27,Which empirical methods are used in RE research to compare alternative techniques?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6841
28,How useful do RE researchers perceive current best practices?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.515
29,Which RE knowledge areas have been empirically investigated the most?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6533
30,How has empirical research in RE for embedded software evolved?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5244
31,What are the empirical evidence gaps in requirements management?,How many empirical studies are by authors working for large software development companies?,0.449
32,How often do empirical RE studies consider practical considerations?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7059
33,What are the prevalent challenges in global/distributed requirements engineering?,How has the reporting of the tasks evolved over time?,0.3046
34,How has the research in requirements change management evolved?,How has the reporting of the tasks evolved over time?,0.4338
35,What is the impact of empirical research on RE education?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5623
36,Which frameworks support empirical evaluation in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5409
37,How have empirical methods in RE evolved over the last 20 years?,How has the number of empirical methods used per publication evolved over time?,0.7916
38,What are the key indicators of successful RE interventions in industry?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5048
39,How do small and medium-sized enterprises (SMEs) approach RE empirically?,How many empirical studies are by authors working for large software development companies?,0.5001
40,How do empirical studies benefit RE practice analysis?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6289
41,What are the key components of an RE research map?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4914
42,How is empirical data synthesized in requirements planning studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5708
43,What critical success factors are essential for RE method adoption?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4712
44,What are the most frequent empirical methods used in RE research and their outcomes?,How often are which empirical methods used?,0.7534
45,How does the RE community perceive the application of empirical methods?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7277
46,What are the major gaps in current RE empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7412
47,How has requirements verification and validation research trended over time?,How has the reporting of research questions and answers evolved over time?,0.5283
