,genCQ,expertCQ,cos_score
0,How frequent are the different types of empirical research methods used in RE?,How often are which empirical methods used?,0.8117
1,How frequent are the different types of empirical research methods used in RE?,How often are which empirical methods used over time?,0.7772
2,How frequent are the different types of empirical research methods used in RE?,How has the number of empirical methods used per publication evolved over time?,0.7653
3,How frequent are the different types of empirical research methods used in RE?,How many different empirical methods are used per publication?,0.7649
4,Which domains have seen significant empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7588
5,What are the common data analysis techniques used in empirical RE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7389
6,What gaps exist in the current body of empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7310
7,What are the emerging areas of interest in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7274
8,How significant is the role of case studies in empirical RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7258
9,What future opportunities exist for empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7215
10,What are the different contexts in which empirical RE research is applied?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7151
11,How comprehensive is the current body of empirical RE literature?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7150
12,What methods do empirical RE studies use to validate their findings?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7141
13,How are data collection methods evolving in empirical RE studies?,How has the number of empirical methods used per publication evolved over time?,0.7127
14,What are the common themes emerging from empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7104
15,Which RE techniques are most validated by empirical studies?,How often are which empirical methods used?,0.7091
16,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7080
17,Which RE techniques are most validated by empirical studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7068
18,How frequent are the different types of empirical research methods used in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7062
19,How frequent are longitudinal studies in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7049
20,In which channels are the empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
21,What are the common data analysis techniques used in empirical RE?,How often are which empirical methods used?,0.7042
22,How has empirical research in various RE knowledge areas evolved over the years?,How has the proportion of empirical studies evolved over time?,0.7036
23,How has the publication rate of empirical RE research changed over the years?,How has the proportion of empirical studies evolved over time?,0.7001
24,How do empirical RE studies impact the field’s theoretical foundations?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6996
25,How often are empirical RE studies replicated?,How often are which empirical methods used over time?,0.6991
26,What are the most common research questions investigated in empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6975
27,How are data collection methods evolving in empirical RE studies?,How often are which empirical methods used over time?,0.6966
28,How often are empirical RE studies replicated?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6962
29,How often are empirical RE studies replicated?,How has the proportion of empirical studies evolved over time?,0.6956
30,How frequent are the different types of empirical research methods used in RE?,How often are which statistical methods used?,0.6946
31,How has the publication rate of empirical RE research changed over the years?,How has the number of empirical methods used per publication evolved over time?,0.6925
32,What kinds of empirical evidence are most valued in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6920
33,What percentage of RE studies are empirical versus non-empirical?,How has the proportion of empirical studies evolved over time?,0.6885
34,What are the common themes emerging from empirical research in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6874
35,What types of tools are used in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6838
36,What are the best practices for conducting empirical studies in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6810
37,What are the criteria for evaluating empirical RE studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6798
38,What types of tools are used in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6796
39,What are the different contexts in which empirical RE research is applied?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6778
40,How has the publication rate of empirical RE research changed over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6773
41,What challenges are faced in conducting empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6768
42,How frequent are the different types of empirical research methods used in RE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6759
43,How are data collection methods evolving in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6757
44,What methods do empirical RE studies use to validate their findings?,How often are which empirical methods used?,0.6754
45,In which context have empirical studies of RE been carried out over the history of RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6751
46,What are the criteria for evaluating empirical RE studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6742
47,How frequently are surveys used in empirical RE research?,How often are which empirical methods used over time?,0.6741
48,What are the future research directions in empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6737
49,What are the criteria for evaluating empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6729
50,How often are empirical RE studies replicated?,How has the number of empirical methods used per publication evolved over time?,0.6722
51,How are data collection methods evolving in empirical RE studies?,How often are which empirical methods used?,0.6720
52,How has the publication rate of empirical RE research changed over the years?,How has the proportion of papers that do not have an empirical study evolved over time?,0.6707
53,How often are empirical RE studies replicated?,How often are which empirical methods used?,0.6703
54,What percentage of RE studies are empirical versus non-empirical?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6680
55,What methods do empirical RE studies use to validate their findings?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6671
56,How frequently are surveys used in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6651
57,What kinds of empirical evidence are most valued in RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6647
58,Which RE techniques are most validated by empirical studies?,How often are which empirical methods used over time?,0.6640
59,How are data collection methods evolving in empirical RE studies?,How has the proportion of empirical studies evolved over time?,0.6634
60,How are empirical studies shaping RE methodologies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6626
61,How frequent are the different types of empirical research methods used in RE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6620
62,How are empirical studies shaping RE methodologies?,How often are which empirical methods used?,0.6615
63,How comprehensive is the current body of empirical RE literature?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6609
64,What types of tools are used in empirical RE studies?,How often are which empirical methods used?,0.6582
65,What kinds of empirical evidence are most valued in RE research?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6582
66,How frequent are longitudinal studies in empirical RE research?,How has the proportion of empirical studies evolved over time?,0.6567
67,How are empirical studies shaping RE methodologies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6566
68,What are the common data analysis techniques used in empirical RE?,How many different empirical methods are used per publication?,0.6561
69,How are empirical studies shaping RE methodologies?,How has the number of empirical methods used per publication evolved over time?,0.6559
70,What are the common themes emerging from empirical research in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6525
71,How are empirical studies shaping RE methodologies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6515
72,What are the most common research questions investigated in empirical RE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6514
73,What types of tools are used in empirical RE studies?,How many different empirical methods are used per publication?,0.6508
74,How frequently are surveys used in empirical RE research?,How often are which empirical methods used?,0.6504
75,How frequent are the different types of empirical research methods used in RE?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6504
76,Which RE techniques are most validated by empirical studies?,How many different empirical methods are used per publication?,0.6495
77,What are the common data analysis techniques used in empirical RE?,How often are which empirical methods used over time?,0.6487
78,What are the different contexts in which empirical RE research is applied?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6466
79,How are empirical studies in RE adopted by industry?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6462
80,What types of tools are used in empirical RE studies?,How often are which empirical methods used over time?,0.6461
81,How frequent are longitudinal studies in empirical RE research?,How often are which empirical methods used over time?,0.6449
82,How are empirical studies shaping RE methodologies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6424
83,How frequent are the different types of empirical research methods used in RE?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6415
84,How are empirical studies shaping RE methodologies?,How often are which empirical methods used over time?,0.6408
85,What methods do empirical RE studies use to validate their findings?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6400
86,Which RE techniques are most validated by empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6398
87,Which era of RE research has seen the most progress in terms of new advances?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.6392
88,How frequent are the different types of empirical research methods used in RE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6384
89,What are the criteria for selecting participants in empirical RE studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6376
90,What methods do empirical RE studies use to validate their findings?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6372
91,Which research institutes are leading in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6371
92,What percentage of RE studies are empirical versus non-empirical?,How has the proportion of papers that do not have an empirical study evolved over time?,0.6347
93,How do empirical RE studies align with RE best practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6346
94,How has the publication rate of empirical RE research changed over the years?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6346
95,How are data collection methods evolving in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6342
96,How are empirical studies in RE adopted by industry?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6333
97,How frequent are the different types of empirical research methods used in RE?,How has the proportion of empirical studies evolved over time?,0.6328
98,How comprehensive is the current body of empirical RE literature?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6326
99,How has empirical research in various RE knowledge areas evolved over the years?,How has the number of empirical methods used per publication evolved over time?,0.6323
100,What is the impact of empirical RE research on global software development?,How many empirical studies are by authors working for large software development companies?,0.6319
101,What methods do empirical RE studies use to validate their findings?,How often are which empirical methods used over time?,0.6312
102,What methods do empirical RE studies use to validate their findings?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6310
103,What kinds of empirical evidence are most valued in RE research?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.6300
104,How are empirical studies shaping RE methodologies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6289
105,What methods do empirical RE studies use to validate their findings?,How many different empirical methods are used per publication?,0.6286
106,How has empirical research in various RE knowledge areas evolved over the years?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6270
107,What methods do empirical RE studies use to validate their findings?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6270
108,How are data collection methods evolving in empirical RE studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6268
109,What percentage of RE studies are empirical versus non-empirical?,How many different empirical methods are used per publication?,0.6262
110,What empirical methods are used to study RE processes?,How often are which empirical methods used?,0.6262
111,How frequently are surveys used in empirical RE research?,How has the proportion of empirical studies evolved over time?,0.6261
112,How comprehensive is the current body of empirical RE literature?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6259
113,How frequent are longitudinal studies in empirical RE research?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6258
114,Which research method is frequently used in primary RE studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6256
115,What types of tools are used in empirical RE studies?,How has the number of empirical methods used per publication evolved over time?,0.6256
116,What percentage of RE studies are empirical versus non-empirical?,How often are which empirical methods used?,0.6252
117,How comprehensive is the current body of empirical RE literature?,How has the number of empirical methods used per publication evolved over time?,0.6250
118,What are the criteria for selecting participants in empirical RE studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6241
119,How often are empirical RE studies replicated?,How many different empirical methods are used per publication?,0.6223
120,What are the different contexts in which empirical RE research is applied?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6220
